#time,6636_s,6611_s,6633_s,6635_s,6632_s,6634_s,6631_s,6534_s,6532_s,6533_s,6531_s,6535_s,6435_s,6440_s,6439_s,6434_s,6414_s,6436_s,6412_s,6413_s,6438_s,6433_s,6411_s,6432_s,6437_s,6431_s,6636_e,6611_e,6633_e,6635_e,6632_e,6634_e,6631_e,6534_e,6532_e,6533_e,6531_e,6535_e,6435_e,6440_e,6439_e,6434_e,6414_e,6436_e,6412_e,6413_e,6438_e,6433_e,6411_e,6432_e,6437_e,6431_e,6636_i,6611_i,6633_i,6635_i,6632_i,6634_i,6631_i,6534_i,6532_i,6533_i,6531_i,6535_i,6435_i,6440_i,6439_i,6434_i,6414_i,6436_i,6412_i,6413_i,6438_i,6433_i,6411_i,6432_i,6437_i,6431_i,6636_r,6611_r,6633_r,6635_r,6632_r,6634_r,6631_r,6534_r,6532_r,6533_r,6531_r,6535_r,6435_r,6440_r,6439_r,6434_r,6414_r,6436_r,6412_r,6413_r,6438_r,6433_r,6411_r,6432_r,6437_r,6431_r,6636_d,6611_d,6633_d,6635_d,6632_d,6634_d,6631_d,6534_d,6532_d,6533_d,6531_d,6535_d,6435_d,6440_d,6439_d,6434_d,6414_d,6436_d,6412_d,6413_d,6438_d,6433_d,6411_d,6432_d,6437_d,6431_d
63,99544,199358,235678,155720,119629,178636,221606,243516,251461,171027,269583,105091,417960,308518,185982,235604,275280,237121,753293,128975,352819,272624,157711,295478,95796,268961,51,209,165,141,86,127,185,409,266,187,385,41,498,274,211,245,544,173,1697,275,556,361,207,380,100,276,97,408,322,271,135,209,347,943,605,348,669,108,975,524,332,406,931,597,2711,507,1085,824,363,617,199,508,338,1035,789,405,427,822,862,1060,1038,689,960,260,2143,1021,888,977,1743,1246,6389,1083,1967,1913,842,1156,586,1130,16,23,44,10,27,43,21,23,29,16,8,8,67,28,14,20,45,32,164,25,80,43,26,34,72,25
64,99532,199307,235628,155684,119616,178614,221565,243410,251410,170985,269474,105082,417791,308421,185951,235505,275157,237050,752935,128909,352666,272554,157697,295423,95777,268957,51,215,170,116,79,121,173,293,237,194,412,37,544,247,194,266,576,268,1448,289,517,403,206,382,88,359,86,423,331,299,143,218,351,880,633,380,700,98,958,562,358,427,997,535,2769,487,1132,886,403,679,204,558,337,1044,792,410,431,831,876,1126,1041,706,995,262,2141,1035,910,982,1776,1246,6486,1095,2036,1911,868,1184,599,1162,17,23,45,11,30,43,21,25,29,16,8,8,69,29,15,23,46,32,166,26,85,45,26,40,72,25
65,99524,199266,235585,155653,119607,178562,221524,243374,251353,170916,269418,105067,417634,308332,185889,235415,275023,236996,752556,128843,352507,272450,157660,295354,95758,268952,56,213,181,111,71,128,173,361,189,173,439,41,587,274,187,305,578,282,1551,325,528,371,159,337,88,301,105,460,353,282,151,226,345,849,648,350,720,102,998,581,375,423,1001,540,2931,521,1160,888,408,720,196,540,355,1081,822,420,444,837,913,1227,1110,736,1047,277,2282,1065,921,1020,1828,1365,6680,1145,2121,1950,889,1221,613,1173,17,24,45,14,30,43,21,25,31,17,7,8,71,31,16,24,49,32,169,26,95,46,26,41,72,26
66,99517,199209,235535,155621,119569,178521,221482,243323,251296,170903,269326,105043,417451,308283,185839,235351,274885,236944,752227,128762,352380,272374,157619,295269,95740,268927,44,199,183,129,62,160,152,314,199,227,410,44,622,293,189,346,638,272,1526,317,559,398,161,304,91,200,101,437,333,292,132,233,322,863,589,371,723,92,1056,563,387,415,1025,489,3010,517,1138,785,432,750,191,492,356,1099,840,450,454,849,981,1341,1142,781,1112,285,2363,1114,964,1071,1896,1422,6922,1184,2219,2024,918,1282,637,1296,17,24,46,14,30,43,21,25,31,17,7,8,72,33,16,26,51,34,169,27,97,47,27,41,72,27
67,99509,199188,235504,155595,119550,178489,221422,243271,251221,170846,269280,105034,417310,308190,185749,235296,274760,236831,751912,128694,352231,272285,157574,295192,95721,268865,51,222,202,129,98,164,175,239,215,182,443,58,686,303,189,350,619,324,1443,325,592,434,143,288,86,162,95,396,312,254,134,232,315,752,521,350,743,82,926,528,357,398,968,419,3054,484,1075,720,407,690,188,481,360,1156,891,471,475,878,1023,1449,1241,817,1168,305,2422,1169,1002,1139,2026,1473,7251,1260,2331,2166,950,1353,665,1406,17,24,46,15,30,44,21,29,32,18,7,8,74,35,16,26,54,34,173,28,101,48,30,41,72,28
68,99505,199153,235465,155579,119540,178474,221407,243181,251203,170822,269205,105027,417191,308127,185699,235214,274682,236831,751603,128686,352142,272200,157551,295138,95680,268783,59,205,205,145,95,162,204,269,286,232,417,64,827,376,259,385,694,437,1554,362,663,480,165,343,80,182,107,409,305,246,143,232,315,657,474,361,785,79,1006,507,351,419,1080,497,2869,518,1032,754,380,649,165,549,366,1235,939,518,495,913,1061,1582,1313,845,1220,318,2552,1224,1052,1176,2131,1543,7407,1323,2470,2274,998,1434,693,1459,17,24,47,16,30,44,21,29,32,18,7,8,74,35,16,26,56,34,177,29,103,48,30,42,72,28
69,99497,199132,235433,155564,119529,178448,221345,243127,251201,170814,269177,105026,417190,308107,185677,235191,274656,236831,751506,128592,351990,272200,157518,295071,95669,268757,39,205,213,141,89,162,199,335,258,205,378,64,769,391,283,390,598,290,1690,289,677,424,160,340,116,178,111,392,318,259,143,220,321,706,465,371,808,73,1045,552,349,496,1127,521,3007,544,1082,777,335,621,166,516,378,1257,974,545,502,928,1081,1701,1406,884,1290,328,2647,1293,1084,1227,2193,1608,7761,1370,2582,2376,1051,1528,721,1476,17,24,50,17,30,44,21,29,32,19,9,8,76,35,16,31,56,38,181,29,109,53,32,46,72,29
70,99494,199113,235422,155552,119525,178439,221318,243115,251161,170800,269152,105016,417019,308053,185657,235174,274518,236721,751412,128538,351880,272111,157493,295046,95667,268652,35,175,195,120,87,166,220,283,209,171,297,56,601,314,274,314,501,219,1429,317,676,354,179,352,108,200,115,402,350,279,141,251,322,700,515,434,824,84,1149,610,386,571,1205,575,3112,580,1157,881,326,632,181,501,386,1325,1007,568,515,962,1116,1756,1466,916,1375,341,2776,1343,1117,1242,2268,1654,7974,1409,2684,2422,1109,1609,739,1513,17,24,54,17,30,44,21,31,32,19,10,10,77,37,16,38,57,39,188,30,110,54,33,48,72,29
71,99483,199081,235386,155541,119517,178416,221245,243028,251055,170711,269067,104994,416820,307948,185606,235115,274385,236669,751109,128472,351763,272029,157443,294994,95641,268554,30,153,163,101,82,123,206,259,192,116,266,51,615,279,232,241,505,275,1144,305,627,339,167,308,91,300,110,436,378,274,165,266,352,690,541,436,854,104,1249,615,423,611,1257,553,3195,623,1199,873,351,688,185,459,390,1354,1016,578,526,981,1156,1797,1473,920,1413,345,2827,1373,1142,1250,2320,1654,8239,1439,2765,2419,1154,1667,743,1533,17,26,56,18,30,46,21,32,32,21,12,10,79,38,16,45,61,39,197,30,113,57,34,48,72,29
72,99461,199049,235331,155506,119499,178387,221153,242900,250943,170650,268995,104970,416631,307848,185503,235014,274275,236612,750785,128409,351581,271880,157403,294897,95612,268523,34,128,149,80,52,105,237,295,241,192,259,49,631,335,233,236,500,275,1118,290,617,345,176,275,99,373,110,414,370,286,181,289,389,678,552,419,802,105,1325,650,470,630,1238,610,3251,637,1219,841,372,723,180,458,402,1377,1037,614,538,1004,1166,1856,1504,931,1475,348,2907,1415,1154,1272,2405,1726,8480,1474,2849,2500,1169,1695,757,1600,17,26,57,19,32,49,23,34,32,21,12,11,82,40,17,47,62,41,202,33,114,60,35,49,72,29
73,99439,199003,235280,155432,119458,178359,221100,242859,250842,170579,268883,104949,416424,307759,185427,234935,274179,236543,750519,128336,351427,271805,157377,294834,95590,268486,48,139,173,89,51,102,269,371,278,196,285,64,679,342,246,282,485,219,1127,285,650,405,171,295,109,342,90,420,383,257,168,283,372,628,495,399,790,101,1313,638,477,656,1174,558,3138,578,1194,827,366,722,204,537,410,1420,1076,626,541,1012,1187,1919,1567,1005,1573,356,2969,1473,1196,1306,2547,1780,8735,1528,2974,2620,1191,1736,779,1661,17,26,57,21,32,50,25,35,33,21,12,11,85,40,18,49,64,43,206,33,118,61,37,50,74,31
74,99407,198958,235243,155408,119443,178323,221048,242763,250820,170570,268809,104929,416263,307685,185338,234862,274073,236487,750136,128254,351301,271667,157358,294779,95566,268429,66,150,185,147,82,115,307,322,361,243,322,78,767,368,272,279,503,288,1084,350,715,395,174,304,90,297,91,388,376,231,158,294,393,644,398,344,736,97,1188,588,461,619,1079,501,2980,642,1204,725,338,689,196,501,434,1449,1100,671,564,1032,1218,2057,1642,1048,1659,367,3098,1548,1238,1360,2687,1831,9150,1595,3081,2715,1216,1791,795,1660,17,26,59,21,32,51,26,37,33,22,13,11,87,40,19,51,66,44,213,33,125,65,41,50,75,35
75,99407,198906,235198,155393,119443,178262,221037,242724,250802,170515,268731,104923,416122,307635,185279,234806,274014,236420,749821,128194,351251,271603,157335,294715,95546,268389,90,174,190,156,86,125,297,364,381,244,368,97,927,422,339,329,583,344,1370,338,689,533,160,292,103,328,74,352,346,230,144,283,358,573,391,343,676,95,1237,572,421,587,1143,547,2670,622,1186,737,328,612,182,500,441,1501,1139,710,585,1045,1256,2094,1741,1111,1741,372,3224,1618,1275,1419,2808,1888,9402,1624,3221,2817,1277,1890,814,1722,17,27,59,23,32,53,29,38,33,22,13,11,87,40,20,52,66,44,216,34,127,65,41,51,75,35
