#time,6411_s,6412_s,6413_s,6414_s,6431_s,6432_s,6433_s,6434_s,6435_s,6436_s,6437_s,6438_s,6439_s,6440_s,6531_s,6532_s,6533_s,6534_s,6535_s,6611_s,6631_s,6632_s,6633_s,6634_s,6635_s,6636_s,6411_e,6412_e,6413_e,6414_e,6431_e,6432_e,6433_e,6434_e,6435_e,6436_e,6437_e,6438_e,6439_e,6440_e,6531_e,6532_e,6533_e,6534_e,6535_e,6611_e,6631_e,6632_e,6633_e,6634_e,6635_e,6636_e,6411_i,6412_i,6413_i,6414_i,6431_i,6432_i,6433_i,6434_i,6435_i,6436_i,6437_i,6438_i,6439_i,6440_i,6531_i,6532_i,6533_i,6534_i,6535_i,6611_i,6631_i,6632_i,6633_i,6634_i,6635_i,6636_i,6411_r,6412_r,6413_r,6414_r,6431_r,6432_r,6433_r,6434_r,6435_r,6436_r,6437_r,6438_r,6439_r,6440_r,6531_r,6532_r,6533_r,6534_r,6535_r,6611_r,6631_r,6632_r,6633_r,6634_r,6635_r,6636_r,6411_d,6412_d,6413_d,6414_d,6431_d,6432_d,6433_d,6434_d,6435_d,6436_d,6437_d,6438_d,6439_d,6440_d,6531_d,6532_d,6533_d,6534_d,6535_d,6611_d,6631_d,6632_d,6633_d,6634_d,6635_d,6636_d
10,158757,761025,130366,277621,270425,297054,274823,236823,420418,238573,96274,355388,186966,309784,271231,252889,171843,245538,105329,200495,200474,119934,119758,179185,156285,99794,11,108,18,32,16,12,43,22,40,24,8,38,8,14,15,18,20,15,5,10,20,18,8,2,3,2,21,230,35,77,28,37,96,40,58,69,3,55,17,31,53,23,22,40,4,23,33,3,21,5,10,4,367,2639,460,851,545,564,816,375,1102,572,403,1010,426,508,366,426,395,304,159,513,501,324,483,603,224,230,18,74,11,22,3,21,17,6,54,17,63,45,8,13,6,20,7,4,6,9,15,23,32,39,5,16
11,158755,760993,130363,277616,270424,297048,274817,236819,420414,238565,96274,355378,186964,309779,271223,252881,171843,245534,105329,200492,200472,119934,119757,179181,156284,99794,9,121,18,32,12,16,49,34,44,30,11,40,14,16,10,15,23,15,7,6,23,19,8,5,4,2,17,219,30,69,26,35,88,34,54,50,5,51,15,33,46,23,23,44,3,22,29,3,23,4,7,3,369,2654,462,857,547,573,822,378,1115,575,403,1014,428,509,367,426,396,306,160,515,503,325,485,606,224,230,18,74,11,22,3,21,17,6,54,17,63,45,8,13,6,20,7,4,6,9,15,23,32,39,5,16
12,158754,760974,130363,277611,270421,297043,274814,236819,420403,238565,96272,355378,186962,309779,271220,252875,171841,245529,105329,200489,200472,119934,119756,179181,156281,99794,10,128,19,37,13,19,55,38,39,38,8,50,16,17,18,23,17,11,7,9,25,19,7,9,5,2,17,186,30,67,29,32,98,38,56,57,7,50,15,30,41,20,22,42,4,22,37,12,22,4,8,4,374,2690,469,865,549,577,830,384,1128,594,404,1018,430,511,374,426,401,310,161,516,507,325,485,607,227,231,18,74,11,22,3,22,17,6,54,17,63,45,8,13,6,20,7,4,6,9,15,23,32,39,5,16
13,158753,760967,130363,277611,270421,297043,274814,236819,420402,238565,96272,355365,186962,309779,271217,252875,171841,245528,105329,200485,200472,119934,119753,179180,156281,99794,9,137,15,39,13,23,47,30,47,29,8,42,17,15,20,28,17,15,6,10,13,9,7,9,6,0,15,181,30,75,32,25,92,41,58,65,8,60,17,28,43,19,24,39,8,21,40,16,21,4,8,4,376,2733,473,870,549,581,831,388,1129,596,404,1027,431,516,380,430,404,313,161,518,511,326,487,607,228,232,18,74,11,22,3,22,17,6,54,17,63,45,8,13,6,20,7,4,6,9,15,23,32,39,5,16
14,158751,760954,130363,277606,270420,297041,274793,236801,420385,238553,96270,355358,186961,309777,271216,252875,171840,245526,105326,200485,200466,119934,119753,179178,156280,99794,10,128,12,29,10,21,41,27,43,21,7,45,13,15,17,23,14,16,2,13,10,5,10,10,6,0,17,198,37,69,36,27,113,52,75,68,9,77,17,29,42,27,31,34,8,22,45,20,23,6,8,3,378,2754,476,872,549,590,843,388,1132,596,404,1027,433,518,384,436,405,316,161,520,511,326,488,607,228,232,18,74,11,22,3,22,17,6,54,17,63,45,8,13,6,20,7,4,6,9,15,23,32,39,5,16
15,158742,760932,130357,277600,270416,297035,274780,236799,420375,238552,96268,355349,186957,309766,271214,252874,171839,245523,105326,200481,200463,119934,119752,179177,156276,99794,7,105,4,27,7,19,41,34,43,30,8,35,13,14,16,15,6,15,5,11,11,1,8,10,7,0,18,223,35,78,30,31,107,58,75,58,13,67,24,28,41,28,34,36,10,19,37,21,18,9,10,3,381,2773,477,884,549,592,842,388,1132,596,404,1026,434,520,387,436,407,324,161,521,511,326,488,607,228,233,18,74,11,23,3,22,18,6,54,17,63,46,8,13,6,20,7,4,6,9,15,23,32,39,5,16
16,158739,760903,130348,277589,270407,297033,274763,236796,420361,238550,96266,355332,186955,309760,271213,252869,171835,245509,105325,200477,200458,119933,119750,179172,156275,99793,15,93,9,21,9,19,43,24,43,21,6,39,9,18,17,15,4,15,3,14,11,0,6,8,9,0,20,242,34,77,30,33,104,60,75,62,12,67,23,31,44,36,33,31,8,20,36,21,17,11,9,3,381,2782,480,887,557,594,859,394,1142,616,404,1041,435,528,389,436,407,325,161,525,522,326,496,607,228,233,18,74,11,23,3,22,18,6,54,17,63,46,8,13,6,20,7,4,6,9,15,23,32,39,5,16
17,158727,760855,130342,277582,270397,297022,274747,236789,420351,238544,96266,355318,186950,309754,271212,252857,171831,245496,105325,200473,200454,119931,119746,179165,156275,99792,16,90,15,27,17,15,54,23,53,15,8,46,9,19,10,12,8,25,4,15,14,1,7,9,9,1,17,239,31,68,31,37,89,55,83,57,14,63,22,28,36,39,32,33,8,20,34,21,17,11,12,3,381,2795,484,893,558,598,868,396,1146,620,405,1050,438,530,394,436,408,334,163,527,525,326,498,609,230,233,18,74,11,23,3,22,18,6,54,17,63,47,8,13,6,20,7,4,6,9,15,23,32,39,5,16
18,158717,760809,130336,277568,270383,297016,274732,236784,420339,238533,96263,355293,186943,309744,271209,252857,171827,245483,105324,200472,200449,119931,119746,179163,156273,99791,27,119,21,29,24,21,67,30,52,21,6,60,12,25,8,18,10,33,4,16,18,3,10,16,6,2,17,225,29,62,26,35,76,45,78,51,14,72,22,28,32,39,27,32,7,23,31,20,17,11,11,2,385,2817,487,907,560,599,886,401,1149,625,405,1054,441,533,405,439,411,337,163,530,527,326,499,609,230,233,18,74,11,23,3,22,18,6,54,17,63,47,8,13,6,20,7,4,6,9,15,23,32,39,5,16
19,158714,760767,130323,277565,270378,297012,274713,236784,420328,238533,96263,355283,186940,309742,271204,252857,171821,245478,105324,200471,200448,119931,119745,179162,156273,99791,36,158,27,43,38,27,82,35,63,32,9,72,19,35,8,18,14,45,5,13,23,3,7,17,8,3,18,213,22,59,23,31,84,56,83,54,16,73,21,28,31,33,26,30,10,21,31,19,16,12,10,2,386,2838,489,913,565,601,899,411,1155,631,405,1058,441,533,411,439,416,339,164,531,530,327,502,610,231,234,18,74,11,23,3,22,18,6,54,17,63,47,8,13,7,20,7,4,6,9,15,23,32,39,5,16
