"Anteil (60-70 J.) (RS)";"Anteil (60-70 J.) (Kreis)";"Anteil (60-70 J.) (Ins)";"Anteil (60-70 J.) (Abs)";"Anteil (60-70 J.) (value)"
"01001";"Flensburg,Stadt";90164;9878;10,9555920322967
"01002";"Kiel,Stadt";246794;25629;10,3847743462159
"01003";"Lübeck,Stadt";216530;25647;11,8445480995705
"01004";"Neumünster,Stadt";80196;9628;12,0055863135318
"01051";"Dithmarschen";133193;18677;14,0225086903966
"01053";"HerzogtumLauenburg";198019;24397;12,3205348981663
"01054";"Nordfriesland";165951;22429;13,5154352790884
"01055";"Ostholstein";200539;29571;14,7457601763248
"01056";"Pinneberg";316103;37361;11,8192487891605
"01057";"Plön";128686;17657;13,720995290863
"01058";"Rendsburg-Eckernförde";274098;35978;13,1259622470795
"01059";"Schleswig-Flensburg";201156;26676;13,2613494004653
"01060";"Segeberg";277175;33476;12,0775683232615
"01061";"Steinburg";131013;17030;12,9987100516743
"01062";"Stormarn";244156;29496;12,0808007994889
"02000";"Hamburg(BL)";1847253;178574;9,66700284151657
"03101";"Braunschweig,Stadt";249406;27534;11,0398306375949
"03102";"Salzgitter,Stadt";104291;13126;12,5859374250894
"03103";"Wolfsburg,Stadt";124371;14658;11,7857056709361
"03151";"Gifhorn";176523;23030;13,0464585351484
"03153";"Goslar";136292;19409;14,2407478061808
"03154";"Helmstedt";91297;12708;13,9194058950458
"03155";"Northeim";132285;19420;14,6804248403069
"03157";"Peine";134801;16969;12,588185547585
"03158";"Wolfenbüttel";119622;16215;13,5551988764609
"03159";"Göttingen";326041;42339;12,9857901306891
"03241";"RegionHannover";1157115;134558;11,6287490871694
"03251";"Diepholz";217089;28510;13,1328625586741
"03252";"Hameln-Pyrmont";148549;20529;13,8196823943615
"03254";"Hildesheim";275817;36104;13,0898385523735
"03255";"Holzminden";70458;10109;14,3475545715178
"03256";"Nienburg(Weser)";121390;16483;13,5785484801054
"03257";"Schaumburg";157820;21302;13,4976555569636
"03351";"Celle";179011;23912;13,3578383451296
"03352";"Cuxhaven";198038;28369;14,3250285298781
"03353";"Harburg";254431;31054;12,2052737284372
"03354";"Lüchow-Dannenberg";48412;7510;15,5126828059159
"03355";"Lüneburg";184139;21931;11,9100244923672
"03356";"Osterholz";113928;15170;13,3154272874096
"03357";"Rotenburg(Wümme)";163782;21280;12,9928807805498
"03358";"Heidekreis";140673;18213;12,9470474078181
"03359";"Stade";204512;25285;12,3635776873729
"03360";"Uelzen";92389;13164;14,2484494907402
"03361";"Verden";137133;18001;13,1266726462631
"03401";"Delmenhorst,Stadt";77559;9434;12,1636431619799
"03402";"Emden,Stadt";49913;6012;12,0449582273155
"03403";"Oldenburg(Oldenburg),Stadt";169077;18894;11,1747901843539
"03404";"Osnabrück,Stadt";165251;17353;10,5009954553982
"03405";"Wilhelmshaven,Stadt";76089;9681;12,7232582896345
"03451";"Ammerland";124859;16159;12,9417983485372
"03452";"Aurich";189694;26676;14,0626482651006
"03453";"Cloppenburg";170682;19269;11,2894154040848
"03454";"Emsland";326954;40636;12,4286596891306
"03455";"Friesland";98704;13559;13,7370319338629
"03456";"GrafschaftBentheim";137162;17269;12,590221781543
"03457";"Leer";170756;22094;12,9389304036169
"03458";"Oldenburg,Landkreis";130890;16750;12,797005118802
"03459";"Osnabrück,Landkreis";358080;45932;12,8273011617516
"03460";"Vechta";142814;15879;11,1186578346661
"03461";"Wesermarsch";88583;12153;13,7193366673064
"03462";"Wittmund";56926;8295;14,5715490285634
"04011";"Bremen,Stadt";567559;64192;11,3101897776266
"04012";"Bremerhaven,Stadt";113643;14394;12,6659803067501
"05111";"Düsseldorf,Stadt";621877;64821;10,4234438643011
"05112";"Duisburg,Stadt";498686;59158;11,862775373682
"05113";"Essen,Stadt";582760;70736;12,1381014482806
"05114";"Krefeld,Stadt";227417;28186;12,3939723063799
"05116";"Mönchengladbach,Stadt";261034;33101;12,680723583901
"05117";"MülheimanderRuhr,Stadt";170632;22029;12,9102395799147
"05119";"Oberhausen,Stadt";210764;28193;13,3765728492532
"05120";"Remscheid,Stadt";111338;13775;12,3722358943038
"05122";"Solingen,Stadt";159245;19253;12,0901755157148
"05124";"Wuppertal,Stadt";355100;41231;11,6110954660659
"05154";"Kleve";312465;41156;13,171395196262
"05158";"Mettmann";485570;62126;12,7944477624235
"05162";"Rhein-KreisNeuss";451730;57426;12,7124609833308
"05166";"Viersen";298863;40150;13,4342491375647
"05170";"Wesel";459976;65944;14,3364001600083
"05314";"Bonn,Stadt";329673;33797;10,2516736281103
"05315";"Köln,Stadt";1087863;107322;9,86539665380659
"05316";"Leverkusen,Stadt";163729;19124;11,6802765545505
"05334";"StädteregionAachen";557026;66405;11,9213465798724
"05358";"Düren";264638;35809;13,5313144748676
"05362";"Rhein-Erft-Kreis";470615;59112;12,5605856166931
"05366";"Euskirchen";193656;26968;13,9257239641426
"05370";"Heinsberg";255555;34675;13,5685077576256
"05374";"OberbergischerKreis";272057;35727;13,1321745075481
"05378";"Rheinisch-BergischerKreis";283271;36527;12,8947191911632
"05382";"Rhein-Sieg-Kreis";600764;76641;12,7572557609977
"05512";"Bottrop,Stadt";117565;16542;14,0705141836431
"05513";"Gelsenkirchen,Stadt";259645;32533;12,5298003042616
"05515";"Münster,Stadt";315293;32194;10,2108197771597
"05554";"Borken";371339;45314;12,2028658449557
"05558";"Coesfeld";220586;30035;13,6160046421804
"05562";"Recklinghausen";614137;86479;14,0813857494338
"05566";"Steinfurt";448220;55700;12,4269332024452
"05570";"Warendorf";277840;36021;12,9646559170746
"05711";"Bielefeld,Stadt";334195;36910;11,0444500965005
"05754";"Gütersloh";364938;43548;11,9329858770531
"05758";"Herford";250578;32117;12,8171667105652
"05762";"Höxter";140251;19782;14,1047122658662
"05766";"Lippe";347514;45450;13,0786097826275
"05770";"Minden-Lübbecke";310409;40684;13,1065787396628
"05774";"Paderborn";307839;37426;12,1576538385325
"05911";"Bochum,Stadt";365587;46268;12,6558110654919
"05913";"Dortmund,Stadt";588250;69228;11,7684657883553
"05914";"Hagen,Stadt";188686;23496;12,4524342028555
"05915";"Hamm,Stadt";179916;22309;12,3996754040775
"05916";"Herne,Stadt";156449;19690;12,5855710167531
"05954";"Ennepe-Ruhr-Kreis";324106;44107;13,6088193368836
"05958";"Hochsauerlandkreis";259777;34976;13,4638555376342
"05962";"MärkischerKreis";410222;53634;13,0743841139676
"05966";"Olpe";133955;17343;12,9468851479975
"05970";"Siegen-Wittgenstein";276944;36108;13,0380149055405
"05974";"Soest";301785;39706;13,1570488924234
"05978";"Unna";394891;54356;13,7648110491249
"06411";"Darmstadt,Stadt";159878;15697;9,81811130987378
"06412";"FrankfurtamMain,Stadt";763380;70323;9,21205690481805
"06413";"OffenbachamMain,Stadt";130280;12685;9,73672090881179
"06414";"Wiesbaden,Stadt";278474;30282;10,8742647428485
"06431";"Bergstraße";270340;36156;13,3742694384849
"06432";"Darmstadt-Dieburg";297844;37650;12,6408455433045
"06433";"Groß-Gerau";275726;30761;11,1563653772223
"06434";"Hochtaunuskreis";236914;27541;11,6248934212415
"06435";"Main-Kinzig-Kreis";420552;53363;12,6887994825848
"06436";"Main-Taunus-Kreis";238558;26645;11,1691915592854
"06437";"Odenwaldkreis";96703;13959;14,4349192889569
"06438";"Offenbach";355813;42136;11,8421755247841
"06439";"Rheingau-Taunus-Kreis";187160;24691;13,1924556529173
"06440";"Wetteraukreis";308339;38720;12,557607049384
"06531";"Gießen";270688;32335;11,9454870552075
"06532";"Lahn-Dill-Kreis";253319;33443;13,2019311618947
"06533";"Limburg-Weilburg";171912;23090;13,4312904276607
"06534";"Marburg-Biedenkopf";247084;29771;12,0489388224248
"06535";"Vogelsbergkreis";105643;16325;15,4529878931874
"06611";"Kassel,Stadt";202137;22140;10,9529675418157
"06633";"Kassel";236764;33007;13,9408862833877
"06631";"Fulda";223145;27866;12,487844226848
"06632";"Hersfeld-Rotenburg";120719;16890;13,991169575626
"06634";"Schwalm-Eder-Kreis";179673;25241;14,0482988540293
"06635";"Waldeck-Frankenberg";156406;21769;13,9182640052172
"06636";"Werra-Meißner-Kreis";100629;14687;14,5951962158026
"07111";"Koblenz,Stadt";114052;13182;11,5578858766177
"07131";"Ahrweiler";130086;18192;13,9845948065126
"07132";"Altenkirchen(Westerwald)";128805;17910;13,9047397228368
"07133";"BadKreuznach";158345;22599;14,2720010104519
"07134";"Birkenfeld";80951;12253;15,1363170312905
"07135";"Cochem-Zell";61375;9026;14,7063136456212
"07137";"Mayen-Koblenz";214434;29742;13,8700019586446
"07138";"Neuwied";182811;25163;13,7644890077731
"07140";"Rhein-Hunsrück-Kreis";103163;15003;14,5430047594583
"07141";"Rhein-Lahn-Kreis";122297;17444;14,2636368839792
"07143";"Westerwaldkreis";201904;27201;13,4722442348839
"07211";"Trier,Stadt";111528;12000;10,7596298687325
"07231";"Bernkastel-Wittlich";112483;16090;14,304383773548
"07232";"Bitburg-Prüm";99058;13505;13,6334268812211
"07233";"Vulkaneifel";60646;9321;15,3695214853412
