"Anteil (16-60 J.) (RS)";"Anteil (16-60 J.) (Kreis)";"Anteil (16-60 J.) (Ins)";"Anteil (16-60 J.) (Abs)";"Anteil (16-60 J.) (value)"
"01001";"Flensburg,Stadt";90164;54088;59,9884654629342
"01002";"Kiel,Stadt";246794;154038;62,4156178837411
"01003";"Lübeck,Stadt";216530;123326;56,9556181591465
"01004";"Neumünster,Stadt";80196;45309;56,4978303157265
"01051";"Dithmarschen";133193;71845;53,9405223998258
"01053";"HerzogtumLauenburg";198019;109642;55,3694342462087
"01054";"Nordfriesland";165951;91157;54,930069719375
"01055";"Ostholstein";200539;104296;52,0078388742339
"01056";"Pinneberg";316103;177639;56,1965561858002
"01057";"Plön";128686;67441;52,4074102855011
"01058";"Rendsburg-Eckernförde";274098;149654;54,5987201657801
"01059";"Schleswig-Flensburg";201156;108810;54,0923462387401
"01060";"Segeberg";277175;156688;56,5303508613692
"01061";"Steinburg";131013;73079;55,7799607672521
"01062";"Stormarn";244156;133941;54,8587788135454
"02000";"Hamburg(BL)";1847253;1132917;61,3298232564787
"03101";"Braunschweig,Stadt";249406;149445;59,9203708010232
"03102";"Salzgitter,Stadt";104291;56524;54,1983488508117
"03103";"Wolfsburg,Stadt";124371;70185;56,4319656511566
"03151";"Gifhorn";176523;99801;56,5371084787818
"03153";"Goslar";136292;72756;53,3824435770258
"03154";"Helmstedt";91297;50027;54,7958859546316
"03155";"Northeim";132285;70512;53,3030955890691
"03157";"Peine";134801;75575;56,0641241533817
"03158";"Wolfenbüttel";119622;65903;55,0927086990687
"03159";"Göttingen";326041;185306;56,8351833051671
"03241";"RegionHannover";1157115;667990;57,7289206345091
"03251";"Diepholz";217089;120671;55,5859578329625
"03252";"Hameln-Pyrmont";148549;78915;53,1238850480313
"03254";"Hildesheim";275817;153872;55,7877143178267
"03255";"Holzminden";70458;37182;52,7718640892447
"03256";"Nienburg(Weser)";121390;67078;55,258258505643
"03257";"Schaumburg";157820;85844;54,393612976809
"03351";"Celle";179011;97082;54,2324214713062
"03352";"Cuxhaven";198038;104688;52,8625819287208
"03353";"Harburg";254431;141650;55,6732473637253
"03354";"Lüchow-Dannenberg";48412;24499;50,6052218458233
"03355";"Lüneburg";184139;107056;58,1386887079869
"03356";"Osterholz";113928;62034;54,4501790604592
"03357";"Rotenburg(Wümme)";163782;93032;56,8023348109072
"03358";"Heidekreis";140673;78259;55,6318554377883
"03359";"Stade";204512;115175;56,3169887341574
"03360";"Uelzen";92389;49492;53,5691478422756
"03361";"Verden";137133;75286;54,8999876032757
"03401";"Delmenhorst,Stadt";77559;43303;55,8323340940445
"03402";"Emden,Stadt";49913;28729;57,5581511830585
"03403";"Oldenburg(Oldenburg),Stadt";169077;103433;61,1750859076042
"03404";"Osnabrück,Stadt";165251;102869;62,2501527978651
"03405";"Wilhelmshaven,Stadt";76089;41431;54,4507090381001
"03451";"Ammerland";124859;68501;54,8626851088027
"03452";"Aurich";189694;104448;55,0613092665029
"03453";"Cloppenburg";170682;101284;59,3407623533823
"03454";"Emsland";326954;189971;58,103280583813
"03455";"Friesland";98704;52169;52,8539876803372
"03456";"GrafschaftBentheim";137162;77642;56,6060570712005
"03457";"Leer";170756;96567;56,5526247979573
"03458";"Oldenburg,Landkreis";130890;73859;56,4282985713194
"03459";"Osnabrück,Landkreis";358080;201499;56,2720621090259
"03460";"Vechta";142814;85733;60,0312294312882
"03461";"Wesermarsch";88583;48769;55,0545815788582
"03462";"Wittmund";56926;30485;53,5519797632014
"04011";"Bremen,Stadt";567559;332640;58,6088847150693
"04012";"Bremerhaven,Stadt";113643;63311;55,7104265110918
"05111";"Düsseldorf,Stadt";621877;376366;60,5209711888364
"05112";"Duisburg,Stadt";498686;287904;57,7325210653598
"05113";"Essen,Stadt";582760;333011;57,1437641567712
"05114";"Krefeld,Stadt";227417;128541;56,5221597330015
"05116";"Mönchengladbach,Stadt";261034;149345;57,2128534980118
"05117";"MülheimanderRuhr,Stadt";170632;93308;54,6837638895401
"05119";"Oberhausen,Stadt";210764;118761;56,3478582680154
"05120";"Remscheid,Stadt";111338;62309;55,9638218757298
"05122";"Solingen,Stadt";159245;90276;56,6900059656504
"05124";"Wuppertal,Stadt";355100;203839;57,4032666854407
"05154";"Kleve";312465;179243;57,3641847886963
"05158";"Mettmann";485570;263437;54,2531457874251
"05162";"Rhein-KreisNeuss";451730;251162;55,6000265645408
"05166";"Viersen";298863;167527;56,0547809531458
"05170";"Wesel";459976;251416;54,6585039219438
"05314";"Bonn,Stadt";329673;200461;60,8060108046458
"05315";"Köln,Stadt";1087863;681922;62,6845475946879
"05316";"Leverkusen,Stadt";163729;92587;56,5489314660201
"05334";"StädteregionAachen";557026;331143;59,4483919960648
"05358";"Düren";264638;148957;56,287078953136
"05362";"Rhein-Erft-Kreis";470615;264957;56,3001604283756
"05366";"Euskirchen";193656;108072;55,8061717684967
"05370";"Heinsberg";255555;144691;56,6183404746532
"05374";"OberbergischerKreis";272057;151763;55,7835306571785
"05378";"Rheinisch-BergischerKreis";283271;154849;54,6646144504732
"05382";"Rhein-Sieg-Kreis";600764;335464;55,8395642881398
"05512";"Bottrop,Stadt";117565;65646;55,8380470378089
"05513";"Gelsenkirchen,Stadt";259645;146719;56,5075391399796
"05515";"Münster,Stadt";315293;200760;63,6741063074664
"05554";"Borken";371339;214858;57,8603378583989
"05558";"Coesfeld";220586;123858;56,1495289818937
"05562";"Recklinghausen";614137;337582;54,9685167967408
"05566";"Steinfurt";448220;256564;57,2406407567712
"05570";"Warendorf";277840;155733;56,0513245033113
"05711";"Bielefeld,Stadt";334195;196232;58,7178144496477
"05754";"Gütersloh";364938;210884;57,7862541034368
"05758";"Herford";250578;139289;55,5870826648788
"05762";"Höxter";140251;76774;54,7404296582556
"05766";"Lippe";347514;188960;54,3747877783341
"05770";"Minden-Lübbecke";310409;171330;55,1949202503793
"05774";"Paderborn";307839;182542;59,297879735836
"05911";"Bochum,Stadt";365587;211801;57,9344998591307
"05913";"Dortmund,Stadt";588250;344200;58,5125371865703
"05914";"Hagen,Stadt";188686;104878;55,5833501160658
"05915";"Hamm,Stadt";179916;102570;57,0099379710532
"05916";"Herne,Stadt";156449;89154;56,9859826524938
"05954";"Ennepe-Ruhr-Kreis";324106;178300;55,0128661610708
"05958";"Hochsauerlandkreis";259777;145378;55,9626140882372
"05962";"MärkischerKreis";410222;228969;55,8158753065414
"05966";"Olpe";133955;76756;57,299839498339
"05970";"Siegen-Wittgenstein";276944;157106;56,7284360737189
"05974";"Soest";301785;169757;56,2509733750849
"05978";"Unna";394891;217833;55,1628170811692
"06411";"Darmstadt,Stadt";159878;100698;62,9842755100764
"06412";"FrankfurtamMain,Stadt";763380;488880;64,0414996463098
"06413";"OffenbachamMain,Stadt";130280;80132;61,5075222597482
"06414";"Wiesbaden,Stadt";278474;161580;58,0233702248684
"06431";"Bergstraße";270340;150975;55,8463416438559
"06432";"Darmstadt-Dieburg";297844;169607;56,9449107586522
"06433";"Groß-Gerau";275726;161622;58,6168877798974
"06434";"Hochtaunuskreis";236914;130151;54,9359683260593
"06435";"Main-Kinzig-Kreis";420552;237849;56,5563830394339
"06436";"Main-Taunus-Kreis";238558;134912;56,553123349458
"06437";"Odenwaldkreis";96703;52774;54,5732810771124
