#v_alpha	v_qq	Loss function value
0.100221939271	5.72831249712	3045794518.78
0.335656444314	5.95327692053	1.79859435732e+13
0.13219138807	7.86136414875	2370067801.03
0.0778539725389	7.81590801567	3034879643.37
0.236418935679	6.56133290291	101314565286
0.231371982907	7.76739804079	703174871088
0.120329961303	6.89709131368	2807685085.48
0.191348427127	5.94244635526	1461321489.91
0.309604929646	6.29436239915	1.158029964e+13
0.296368907566	6.22485718835	6.4346987241e+12
0.318737831482	7.43077675444	2.71632531762e+13
0.0861097573468	7.13333320562	3028319956.62
0.180341258896	6.30160120878	1587485578.02
0.280207387806	6.56961972815	4.44778211179e+12
0.162365050857	6.66772694534	2022217536.85
0.0751099092081	7.14209959684	3068798095.34
0.225426418248	5.92315716814	1503005974.04
0.290930592319	6.13441599848	4.35797076109e+12
0.301912361558	6.45559999069	1.02563231504e+13
0.222884680248	6.34794819522	7404841431.78
0.237945665837	6.46246661081	92537868999.2
0.132618406078	6.89411257684	2644138288.96
0.192427944933	7.05006087166	297698713.046
0.333800650998	5.55187895548	1.20510507196e+13
0.178227460008	7.20360598241	638530175.492
0.118343493315	7.77942793822	2676364460.2
0.247113475818	7.52493900656	1.86801651779e+12
0.308171626941	5.85058267323	6.74615354435e+12
0.125197536511	7.75635150663	2558978252.87
0.25649378471	5.79108946691	105611316059
0.135628347487	6.03629438166	2800793737.55
0.294732173655	7.53459880005	1.71696206787e+13
0.346623463675	6.73421599799	3.22679958759e+13
0.238173755456	7.67709311337	1.12884998005e+12
0.321490361007	7.37511235376	2.78812297503e+13
0.0631782726395	6.57459389786	3112186357.37
0.254498088888	5.90938368341	124030834062
0.120985774295	6.77307945915	2820631596.11
0.0929409106519	6.99246724015	3004216963.28
0.245373231753	6.91315834838	603669379577
0.11133382101	5.61602571617	3013247725.22
0.123483729541	6.39193465133	2855875865.42
0.254122094414	6.7914726963	1.04903230918e+12
0.105860387357	6.69730672763	2953492791.49
0.194337720889	6.25170876248	846318484.523
0.0716033628336	5.90056412032	3109442618.88
0.185400297006	6.5062001068	1052568513.8
0.182561277314	5.93427029991	1860062903.23
0.156370036009	5.99239000144	2522243367.58
0.321643795166	7.30381547838	2.72561150317e+13
0.0596872833489	7.43775054279	3104343422.15
0.23785073916	7.08889401992	408060859275
0.254198956986	7.51485874761	3.01928084538e+12
0.180123350045	7.57197730864	258524556.586
0.277623359035	6.33619142351	2.72312717285e+12
0.349526030675	7.9171217518	4.48046815876e+13
0.182628188049	6.73856320219	922227519.226
0.135426189678	6.12150258985	2785388716.5
