#time,Werra-Meissner-Kreis,Kassel-City,Kassel,Waldeck-Frankenberg,Hersfeld-Rotenburg,Schwalm-Eder-Kreis,Fulda,Marburg-Biedenkopf,Lahn-Dill-Kreis,Limburg-Weilburg,Giessen,Vogelsbergkreis,Main-Kinzig-Kreis,Wetteraukreis,Rheingau-Taunus-Kreis,Hochtaunuskreis,Wiesbaden,Main-Taunus-Kreis,Frankfurt-am-Main,Offenbach-am-Main,Offenbach,Gross-Gerau,Darmstadt,Darmstadt-Dieburg,Odenwaldkreis,Bergstrasse
0,0.014494,-0.037472,-0.00664201,0.070192,0.001904,-0.01472,0.111257,0.034602,0.0714,0.015273,0.102149,0.015998,-0.21053199,-0.12389899,-0.032986,-0.11354,-0.127705,-0.00563199,0.051504,-0.034624,0.121794,-0.033774,0.049218,-0.140538,0.031558,0.057555
0.12,0.11454,0.163576,0.23036499,0.070192,0.001904,0.16512,0.33428,0.526408,0.324773,0.359855,0.373816,0.015998,0.63284601,0.18645401,0.154447,0.361022,0.708122,0.47289601,3.10792,0.358052,0.478336,0.51784,0.367566,0.752565,0.031558,0.057555
0.36,0.214586,0.565672,0.46737199,0.22672,0.122208,0.34496,0.780326,1.51002,0.831519,0.876728,1.460484,0.121504,2.31960201,0.80716001,0.529313,0.85140273,2.379776,1.66921601,9.220752,1.274296,1.19142,1.896875,1.004262,1.943369,0.031558,0.32857
0.84,0.514724,1.369864,0.94138599,0.696304,0.362816,0.70464,1.672418,3.477244,1.591638,2.082765,3.63382,0.332516,4.87832509,2.04857201,1.279045,2.25927,5.723084,4.06185601,22.21052,2.845,2.97413,4.654945,2.436828,4.920379,0.128312,0.599585
1.8,1.115,2.978248,1.88941399,1.478944,0.723728,1.424,3.679625,7.411692,3.618622,4.494839,7.708825,0.75454,11.17507101,4.53139601,2.965942,4.869361,12.63765282,8.84713601,49.718264,6.248192,6.183008,9.895278,5.142786,10.874399,0.32182,1.42811657
3.72,2.415598,6.396064,4.02247699,3.20185431,1.565856,3.21557063,7.95618884,16.02341998,7.93895648,9.663569,16.945503,1.598588,24.14022094,9.55290755,6.34866138,10.45337387,27.175977,19.32689921,107.026064,13.578144,13.67039,21.66304333,11.191398,23.377841,0.7814015,3.309735
7.56,5.413272593,14.236936,8.98909035,7.12938434,3.60424631,7.12879797,17.953097,35.93644,17.82700023,21.47910442,37.592195,3.60549561,53.72277638,21.61322513,14.38150424,23.40891647,60.609057,43.01403521,238.929517,30.299597,30.427864,48.232451,25.039536,51.957137,1.7392661,7.158148
12.4985619826,9.925717734,26.500864,16.61544893,13.37948124,6.618624,13.22286987,33.15778784,66.67943798,33.263263,39.814494,69.920568,6.67663765,99.31521928,39.94888037,26.57803731,43.4037954,112.58229954,79.74105921,442.945285,56.18349,56.45543,89.4655975,46.5121086,96.41381967,3.2534662,13.36826314
17.9682097855,16.226392489,43.187848,27.07009104,21.69640913,10.82079189,21.49095696,54.11412447,108.51880884,54.26723502,64.93270821,113.930622,10.89917126,162.07540757,65.14333691,43.28635045,70.72274787,183.34898554,129.91472001,721.174654,91.491607,91.87193533,145.74554811,75.7523724,157.14482367,5.2756248,21.83167443
23.4572834546,24.029980489,64.08137477,40.11600968,32.18598975,15.99894715,31.87614784,80.1999901,160.8807789,80.38414425,96.12644716,168.807356,16.11254383,240.05213621,96.50761109,64.1137269,104.764662,271.33877336,192.36262401,1066.740688,135.340427,136.08314333,215.61665478,112.1395488,232.73606925,7.8541189,32.18444743
