#time,Werra-Meissner-Kreis,Kassel-City,Kassel,Waldeck-Frankenberg,Hersfeld-Rotenburg,Schwalm-Eder-Kreis,Fulda,Marburg-Biedenkopf,Lahn-Dill-Kreis,Limburg-Weilburg,Giessen,Vogelsbergkreis,Main-Kinzig-Kreis,Wetteraukreis,Rheingau-Taunus-Kreis,Hochtaunuskreis,Wiesbaden,Main-Taunus-Kreis,Frankfurt-am-Main,Offenbach-am-Main,Offenbach,Gross-Gerau,Darmstadt,Darmstadt-Dieburg,Odenwaldkreis,Bergstrasse
52.162935646,111.167082163,295.84332308,185.93588314,149.34389082,73.99733611,146.93277164,370.64245173,744.29589236,372.32831094,443.63739416,781.1719407,74.819752,1105.93689318,447.30581405,296.70915452,484.66736173,1244.89993173,885.72576961,4871.214504,619.869888,628.170527,991.47706839,516.7916916,1072.94752492,36.3481719,149.23969757
55.1905503732,128.166750267,340.92447077,214.36618949,172.21571809,85.30421769,169.36268962,427.08683415,857.61619152,429.32424246,510.98503927,900.12586443,86.31302517,1273.74767336,515.67037289,341.93405981,558.5883026,1432.58108536,1019.92894721,5601.029337,713.097715,723.78320666,1141.45478594,595.200804,1235.69073825,41.8728253,172.05916057
58.1334116676,146.882022,390.75344431,245.73801606,197.57325409,97.73789025,194.15329215,489.54109952,982.91401598,492.26469436,585.55077048,1031.77569263,99.0058557,1459.23365519,591.24132839,392.02329771,640.38697267,1639.73954091,1168.05728961,6404.771232,815.946104,829.438486,1306.98495378,681.7755426,1415.45252542,48.0505682,197.29452871
61.0114755396,167.690848919,446.08804,280.63861352,225.74829409,111.66604349,221.55498936,558.90125252,1121.92605567,562.13717166,668.16883895,1177.63370493,113.0932003,1664.93211994,675.32837021,447.56594338,731.10740833,1868.90810745,1332.16846721,7292.469054,929.691252,946.740804,1490.31999572,777.7415472,1614.71372808,54.8475367,225.30973643
63.8404478953,190.898556593,507.608728,319.54726268,257.07704259,127.08528856,252.22567696,636.06721052,1276.33777073,640.00064359,759.990874,1339.83701507,128.786071,1893.40893795,768.88117853,509.32065419,832.09420193,2123.151484,1514.39192961,8274.915772,1055.838417,1077.1460405,1694.01878783,884.2767054,1836.00480475,62.4185372,256.75521971
66.6328884116,216.801577615,576.28981785,363.08018176,292.01806051,144.32095459,286.27234835,721.99366847,1448.51085456,726.91407933,862.40427158,1520.6495147,146.33447113,2147.99473762,873.14116535,578.22905783,944.75522073,2405.68633809,1717.21602241,9364.2415370001,1195.92558,1222.58546466,1920.44101222,1002.9727572,2082.22834017,70.8651614,291.561289
69.3990092842,245.715612697,653.0128277,411.69295087,331.17100439,163.66956552,324.41208708,818.29265226,1640.65843417,824.040396,976.60600074,1722.5524291,166.00904652,2432.13450363,989.87113571,655.33988657,1070.60906313,2720.26122718,1943.29657601,10574.391247,1351.817952,1385.13890483,2172.9116755,1135.3418556,2357.00636317,80.3422157,330.65713857
72.1472669909,278.130516696,738.96858031,466.09659102,375.16308856,185.26498073,367.21400708,925.86799194,1855.62376298,932.95830228,1104.49126248,1948.29865053,188.04145165,2749.93076967,1120.72837463,741.66617114,1211.5856146,3071.05528627,2195.79187521,11919.691852,1525.544359,1567.06446033,2454.74046167,1283.2781712,2663.78724367,90.9416164,374.62351486
74.8848114412,314.542073126,835.44068985,527.43400262,424.50358017,209.57486084,415.22673417,1046.74254526,2096.33718508,1055.09708177,1247.61067579,2201.30212763,212.82618722,3105.70048751,1267.58120717,838.53779331,1369.67803553,3462.77954027,2478.09946881,13417.622231,1719.395411,1770.9767725,2769.91124961,1448.8032138,3006.96207142,102.8181699,423.816609
75,316.233221067,839.69362831,530.10428148,426.69497217,210.65759684,417.36887898,1052.09900994,2107.10056431,1060.49587569,1253.98544279,2212.49480803,213.94088104,3121.3816005,1274.04275663,842.84875231,1376.70155313,3480.12928254,2490.63690241,13483.717227,1728.00156,1780.18744083,2783.93143878,1456.1252178,3022.16963083,103.3793431,426.00795886
