Time,Density,Index 
60.6,97.39,1
60.6,1877.94,2
60.6,155.1,3
60.6,84.56,4
60.6,109.19,5
60.6,116.5,6
60.6,86.9,7
60.6,194.52,8
60.6,237.15,9
60.6,232.76,10
60.6,317.43,11
60.6,72.2,12
60.6,300.91,13
60.6,281.49,14
60.6,230.44,15
60.6,491.47,16
60.6,1361.92,17
60.6,1073.23,18
60.6,3066.42,19
60.6,2905.35,20
60.6,997.71,21
60.6,606.95,22
60.6,1299.42,23
60.6,451.1,24
60.6,154.31,25
60.6,375.9,26
