Time,Density,Index 
74.4,97.39,1
74.4,1877.94,2
74.4,155.1,3
74.4,84.56,4
74.4,109.19,5
74.4,116.5,6
74.4,86.9,7
74.4,194.52,8
74.4,237.15,9
74.4,232.76,10
74.4,317.43,11
74.4,72.2,12
74.4,300.91,13
74.4,281.49,14
74.4,230.44,15
74.4,491.47,16
74.4,1361.92,17
74.4,1073.23,18
74.4,3066.42,19
74.4,2905.35,20
74.4,997.71,21
74.4,606.95,22
74.4,1299.42,23
74.4,451.1,24
74.4,154.31,25
74.4,375.9,26
