Time,Density,Index 
49.65,97.39,1
49.65,1877.94,2
49.65,155.1,3
49.65,84.56,4
49.65,109.19,5
49.65,116.5,6
49.65,86.9,7
49.65,194.52,8
49.65,237.15,9
49.65,232.76,10
49.65,317.43,11
49.65,72.2,12
49.65,300.91,13
49.65,281.49,14
49.65,230.44,15
49.65,491.47,16
49.65,1361.92,17
49.65,1073.23,18
49.65,3066.42,19
49.65,2905.35,20
49.65,997.71,21
49.65,606.95,22
49.65,1299.42,23
49.65,451.1,24
49.65,154.31,25
49.65,375.9,26
