Time,Density,Index 
42.75,97.39,1
42.75,1877.94,2
42.75,155.1,3
42.75,84.56,4
42.75,109.19,5
42.75,116.5,6
42.75,86.9,7
42.75,194.52,8
42.75,237.15,9
42.75,232.76,10
42.75,317.43,11
42.75,72.2,12
42.75,300.91,13
42.75,281.49,14
42.75,230.44,15
42.75,491.47,16
42.75,1361.92,17
42.75,1073.23,18
42.75,3066.42,19
42.75,2905.35,20
42.75,997.71,21
42.75,606.95,22
42.75,1299.42,23
42.75,451.1,24
42.75,154.31,25
42.75,375.9,26
