Time,Density,Index 
25.95,97.39,1
25.95,1877.94,2
25.95,155.1,3
25.95,84.56,4
25.95,109.19,5
25.95,116.5,6
25.95,86.9,7
25.95,194.52,8
25.95,237.15,9
25.95,232.76,10
25.95,317.43,11
25.95,72.2,12
25.95,300.91,13
25.95,281.49,14
25.95,230.44,15
25.95,491.47,16
25.95,1361.92,17
25.95,1073.23,18
25.95,3066.42,19
25.95,2905.35,20
25.95,997.71,21
25.95,606.95,22
25.95,1299.42,23
25.95,451.1,24
25.95,154.31,25
25.95,375.9,26
