Time,Density,Index 
48.3,97.39,1
48.3,1877.94,2
48.3,155.1,3
48.3,84.56,4
48.3,109.19,5
48.3,116.5,6
48.3,86.9,7
48.3,194.52,8
48.3,237.15,9
48.3,232.76,10
48.3,317.43,11
48.3,72.2,12
48.3,300.91,13
48.3,281.49,14
48.3,230.44,15
48.3,491.47,16
48.3,1361.92,17
48.3,1073.23,18
48.3,3066.42,19
48.3,2905.35,20
48.3,997.71,21
48.3,606.95,22
48.3,1299.42,23
48.3,451.1,24
48.3,154.31,25
48.3,375.9,26
